original,normalized,score
65Apps,65Apps,100.0
AEX Soft,AEX Soft,100.0
ATI.su,ATI.su,100.0
Action Tech,Action Tech,100.0
Aggregate Digital,Aggregate Digital,100.0
Agima,Agima,100.0
Aladdin,Aladdin,100.0
Alderasoft,Alderasoft,100.0
Alfabit,Alfabit,100.0
Algorithmic Brains,Algorithmic Brains,100.0
Altenar,Altenar,100.0
AmoCRM,AmoCRM,100.0
Angie,Angie,100.0
Argo Studio,Argo Studio,100.0
Automated Communication Solutions,Automated Communication Solutions,100.0
Avito,Avito,100.0
Avs Consulting,Avs Consulting,100.0
BI.Zone,BI.Zone,100.0
Bean Counter,Bean Counter,100.0
Belitsoft,Belitsoft,100.0
Bell Integrator,Bell Integrator,100.0
BetBoom,BetBoom,100.0
Bitrix24,Bitrix24,100.0
Bitronics Lab,Bitronics Lab,100.0
Bnd,Bnd,90.0
Boomerang,Boomerang,100.0
Brainshell,Brainshell,100.0
Broad Apps,Broad Apps,100.0
Broniboy Тех Скриннинг,Broniboy Тех Скриннинг,100.0
CSSSR,CSSSR,100.0
Caltat,Caltat,100.0
Centicore Solutions На Проект Go Invest,Centicore Solutions На Проект Go Invest,100.0
Ceramic3D,Ceramic3D,100.0
Clevertec,Clevertec,100.0
Click2Money,Click2Money,100.0
Cloud.Ru,Cloud.Ru,100.0
Comagic,Comagic,100.0
Consaltica,Consaltica,100.0
Cosysoft,Cosysoft,100.0
Crtex,Crtex,100.0
CubeLab,CubeLab,100.0
Darinsoft,Darinsoft,100.0
Data World,Data World,100.0
Datagile,Datagile,100.0
Datanomica,Datanomica,100.0
Dataworks,Dataworks,100.0
Datsteam,Datsteam,100.0
Dcloud,Dcloud,100.0
Diasoft,Diasoft,100.0
Digital Sector,Digital Sector,100.0
Dinord,Dinord,100.0
Dodo Brands,Dodo Brands,100.0
Dogma,Dogma,100.0
Doubletapp,Doubletapp,100.0
ED IT,ED IT,85.5
Egar Technology,Egar Technology,100.0
EnjoyPro,EnjoyPro,100.0
Enot io,Enot io,100.0
Eq Lab,Eq Lab,100.0
Evapps,Evapps,100.0
Evercode Lab,Evercode Lab,100.0
F6 Кибербезопасность,F6 Кибербезопасность,100.0
F6 Команда Кибербезопасности,F6 - Команда Кибербезопасности,96.55172413793103
Facct,Facct,100.0
Farzoom,Farzoom,100.0
Fatzoom,Fatzoom,100.0
Fractall Design,Fractall Design,100.0
Funbox,Funbox,100.0
GhostBusters,GhostBusters,100.0
Gitverse,Gitverse,100.0
Glowbyte,Glowbyte,100.0
Goinvest,Goinvest,100.0
Gotbit,Gotbit,100.0
Heropayments,Heropayments,100.0
Highhelp,Highhelp,100.0
Hitch By Red Mad Robot,Hitch By Red Mad Robot,90.9090909090909
Holyweb,Holyweb,100.0
Huntit,Huntit,100.0
Hyperus,Hyperus,100.0
IT One,IT One,85.5
ITL.Team,ITL.Team,100.0
ITLab,ITLab,100.0
ITQ Group,ITQ Group,100.0
Igaming,Igaming,100.0
Infinet Wireless,Infinet Wireless,100.0
Infowatch,Infowatch,100.0
Infrakap,Infrakap,100.0
Intelsy,Intelsy,100.0
Intermobility,Intermobility,100.0
Irlix,Irlix,100.0
Itsports,Itsports,100.0
Ittrain,Ittrain,100.0
Jsa Group,Jsa Group,88.88888888888889
Kaspersky,Kaspersky,100.0
Kedoo,Kedoo,100.0
Kikimora.Tech,Kikimora.Tech,100.0
Kotelov,Kotelov,100.0
Kt.Team,Kt.Team,100.0
Kvando,Kvando,100.0
Lada Цифра,Lada Цифра,100.0
Lady & Gentalmens,Lady & Gentalmens,100.0
Lady & Gentleman City,Lady & Gentleman City,100.0
Lanit Bpm,Lanit Bpm,100.0
LegalTech,LegalTech,100.0
Linked Helper,Linked Helper,100.0
Lofty,Lofty,100.0
Loyality Labs Hr Тех Скриннинг,Loyality Labs Hr Тех Скриннинг,100.0
Luxsoft,Luxsoft,100.0
Major Ассистанс,Major Ассистанс,100.0
Marpla,Marpla,100.0
Match,Match,100.0
Melon Fashion Group,Melon Fashion Group,100.0
Merlion Tech,Merlion Tech,100.0
Metatraning,Metatraning,100.0
MinervaSOFT,MinervaSOFT,100.0
Mobile Up Mts Тех Скриннинг,Mobile Up Mts Тех Скриннинг,100.0
Molecula,Molecula,100.0
Mozen,Mozen,100.0
Nedra Digital,Nedra Digital,100.0
Nexign,Nexign,100.0
Noname,Noname,100.0
Orionpro,Orionpro,100.0
Perfect Panel,Perfect Panel,100.0
Petrastudio,Petrastudio,100.0
Petshop,Petshop,100.0
Pizzasoft,Pizzasoft,100.0
Polydev,Polydev,100.0
Portalbilet,Portalbilet,100.0
Pravotech,Pravotech,100.0
Premium IT Solution,Premium IT Solution,100.0
Prooftech IT,Prooftech IT,100.0
Prootech,Prootech,100.0
Pyrus,Pyrus,100.0
Quantum Art,Quantum Art,100.0
Queen Games,Queen Games,100.0
Quеen Intеraсtive,Quеen Intеraсtive,100.0
R Vision,R Vision,87.5
ROGII,ROGII,100.0
RTSoft,RTSoft,100.0
Radium Finance,Radium Finance,100.0
RecruitTech,RecruitTech,100.0
Restoclub,Restoclub,100.0
Right Line,Right Line,100.0
Riverside,Riverside,100.0
Rusiem,Rusiem,100.0
Rusjet,Rusjet,100.0
Sarex,Sarex,100.0
Secure T,Secure T,87.5
Selecty,Selecty,100.0
Sibintek,Sibintek,100.0
Signal,Signal,100.0
Sky Capital,Sky Capital,100.0
Sl Soft,Sl Soft,100.0
Smart,Smart,100.0
Smartvisor,Smartvisor,100.0
Smena,Smena,100.0
Sminex,Sminex,100.0
Soft Media Group,Soft Media Group,100.0
SoftJet,SoftJet,100.0
Softnetix,Softnetix,100.0
Sok Studio,Sok Studio,100.0
Solar,Solar,100.0
Spacebit,Spacebit,100.0
Staff IT,Staff IT,87.5
Start X,Start X,100.0
Stream Telecom,Stream Telecom,100.0
Syntellect,Syntellect,100.0
Tecius,Tecius,100.0
Tilda Тильда,Tilda Тильда,100.0
Trendtech,Trendtech,100.0
Tybbo System,Tybbo System,100.0
Umbrella It,Umbrella It,100.0
Umnico Юмнико,Umnico Юмнико,100.0
Unirest,Unirest,100.0
Unisender,Unisender,100.0
Unitarius,Unitarius,100.0
Unybrands,Unybrands,100.0
VegaSoft,VegaSoft,100.0
Vk Workspace,Vk Workspace,100.0
Vk Инфраструктура,Vk Инфраструктура,100.0
Wanted,Wanted,100.0
Westlink,Westlink,100.0
Wildberries,Wildberries,100.0
X Keeper,X Keeper,87.5
X5,X5,100.0
Xsolla,Xsolla,100.0
Yadro Тераплан,Yadro Тераплан,100.0
Yougile,Yougile,100.0
Zero Agency,Zero Agency,100.0
Zoftify,Zoftify,100.0
iFellow,iFellow,100.0
mos.ru,mos.ru,100.0
pro test.Studio,pro-test.Studio,93.33333333333333
А2Code,А2Code,100.0
Аv.By,Аv.By,100.0
АФЛТ Систем,АФЛТ Систем,100.0
Авиационные Интерьеры,Авиационные Интерьеры,100.0
Автомакон,Автомакон,100.0
Аг Логистика,Аг Логистика,91.66666666666666
Азиатско Тихоокеанский Банк,Азиатско-Тихоокеанский Банк,96.2962962962963
Азот Взрыв,Азот Взрыв,90.0
Ай Теко,Ай Теко,85.71428571428572
Айкон Про,Айкон Про,100.0
Айти Фаундейшн,Ооо Айти Фаундейшн,95.0
Актион,Актион,100.0
Алабуга,Алабуга,100.0
Аласкар,Аласкар,100.0
Альдера Софт,Альдера Софт,100.0
Альфа Банк,Альфа Банк,90.0
Альфа Лизинг,Альфа Лизинг,100.0
Антара,Антара,100.0
Армо Системы,Армо Системы,91.66666666666666
Афлт Системс,Афлт Системс,91.66666666666666
Аэроклуб,Аэроклуб,100.0
БКХ Еком,БКХ Еком,100.0
БФТ Холдинг,БФТ Холдинг,90.9090909090909
Барсити,Барсити,100.0
Билайн,Билайн,100.0
Бсс,Бсс,100.0
Бюро 1440,Бюро 1440,100.0
Вендорteamf,Вендорteamf,100.0
Вирту Системс,Вирту Системс,100.0
Восточная Горнорудная,Восточная Горнорудная,100.0
ГНИВЦ,ГНИВЦ,90.0
Газпром Медиа,Газпром Медиа,100.0
Газпром Нефть,Газпром Нефть,100.0
Газпромбанк,Газпромбанк,100.0
Гарда,Гарда,100.0
Геоюна,Геоюна,100.0
Гиксорс,Гиксорс,100.0
Главгоэкспертиза,Главгоэкспертиза,100.0
Гринатом,Гринатом,100.0
Группа Астра,Группа Астра,100.0
