company_norm,cluster_id,interviews_count
Знакомство С Менеджерами,41,1
Интеграционные Решения,21,1
Интеграционные Решения,74,1
Интеграционные Решения,62,1
Интеграционные Решения,27,1
Интеграционные Решения,54,1
Интеграционные Решения,88,1
Интеграционные Решения,13,1
Интеграционные Решения,40,1
Ту Софт,132,1
Ту Софт,10,1
Ту Софт,57,1
Ту Софт,97,1
Ту Софт,28,1
Ту Софт,18,1
Ту Софт,51,1
06 Иц-Айтеко,142,1
06 Иц-Айтеко,99,1
06 Иц-Айтеко,26,1
06 Иц-Айтеко,77,1
06 Иц-Айтеко,57,1
06 Иц-Айтеко,157,1
06 Иц-Айтеко,64,1
06 Иц-Айтеко,35,1
06 Иц-Айтеко,164,1
07 Точка Маркетплейсы,10,1
10 Бсс,46,2
10 Бсс,124,2
10 Бсс,122,2
10 Бсс,3,1
10 Бсс,81,1
10 Бсс,77,1
10 Бсс,45,1
10 Бсс,85,1
10 Бсс,28,1
65Apps,74,1
65Apps,17,1
65Apps,7,1
65Apps,68,1
65Apps,30,1
Action Tech,21,1
Action Tech,97,1
Action Tech,140,1
Action Tech,10,1
Action Tech,165,1
Action Tech,147,1
Action Tech,96,1
Action Tech,74,1
Action Tech,3,1
AEX Soft,19,1
AEX Soft,54,1
AEX Soft,0,1
AEX Soft,132,1
AEX Soft,46,1
AEX Soft,166,1
AEX Soft,12,1
AEX Soft,122,1
Aggregate Digital,0,3
Aggregate Digital,34,1
Aggregate Digital,17,1
Aggregate Digital,141,1
Aggregate Digital,132,1
Aggregate Digital,26,1
Aggregate Digital,10,1
Aggregate Digital,71,1
Aggregate Digital,62,1
Agima,14,2
Agima,154,1
Agima,75,1
Agima,162,1
Aladdin,97,1
Aladdin,116,1
Aladdin,74,1
Aladdin,160,1
Aladdin,86,1
Aladdin,71,1
Aladdin,0,1
Aladdin,32,1
Aladdin,13,1
Alderasoft,29,2
Alderasoft,33,1
Alderasoft,20,1
Alderasoft,132,1
Alderasoft,105,1
Alderasoft,81,1
Alderasoft,22,1
Alderasoft,86,1
Alderasoft,127,1
Alfabit,115,2
Alfabit,130,1
Alfabit,34,1
Alfabit,131,1
Alfabit,141,1
Alfabit,7,1
Algorithmic Brains,21,1
Algorithmic Brains,29,1
Algorithmic Brains,38,1
Algorithmic Brains,22,1
Algorithmic Brains,69,1
Algorithmic Brains,93,1
Algorithmic Brains,117,1
Algorithmic Brains,112,1
Altenar,2,5
Altenar,6,3
Altenar,108,3
Altenar,4,2
Altenar,59,2
Altenar,41,1
Altenar,24,1
Altenar,85,1
Altenar,54,1
AmoCRM,153,5
AmoCRM,35,4
AmoCRM,12,3
AmoCRM,27,3
AmoCRM,88,2
AmoCRM,59,2
AmoCRM,133,2
AmoCRM,162,1
AmoCRM,115,1
Angie,7,2
Angie,17,2
Angie,36,2
Angie,24,1
Angie,34,1
Angie,121,1
Angie,168,1
Angie,39,1
Angie,111,1
Argo Studio,5,3
Argo Studio,26,1
Argo Studio,20,1
Argo Studio,140,1
Argo Studio,1,1
Argo Studio,34,1
Argo Studio,0,1
Argo Studio,59,1
Argo Studio,116,1
ATI.su,19,3
ATI.su,29,2
ATI.su,42,2
ATI.su,168,1
ATI.su,161,1
ATI.su,63,1
ATI.su,34,1
ATI.su,126,1
ATI.su,0,1
Automated Communication Solutions,11,3
Automated Communication Solutions,14,1
Automated Communication Solutions,80,1
Automated Communication Solutions,15,1
Automated Communication Solutions,68,1
Automated Communication Solutions,4,1
Automated Communication Solutions,7,1
Automated Communication Solutions,51,1
Avito,18,2
Avito,99,1
Avito,82,1
Avito,12,1
Avs Consulting,0,2
Avs Consulting,39,2
Avs Consulting,98,1
Avs Consulting,38,1
Avs Consulting,36,1
Avs Consulting,43,1
Avs Consulting,42,1
Avs Consulting,29,1
Avs Consulting,81,1
Bean Counter,40,1
Bean Counter,84,1
Belitsoft,20,2
Belitsoft,36,2
Belitsoft,21,1
Belitsoft,5,1
Belitsoft,64,1
Belitsoft,44,1
Belitsoft,3,1
Belitsoft,26,1
Belitsoft,8,1
Bell Integrator,0,7
Bell Integrator,47,4
Bell Integrator,103,4
Bell Integrator,33,3
Bell Integrator,63,3
Bell Integrator,28,3
Bell Integrator,4,2
Bell Integrator,91,2
Bell Integrator,37,2
BetBoom,26,3
BetBoom,1,2
BetBoom,171,2
BetBoom,34,2
BetBoom,67,2
BetBoom,77,1
BetBoom,42,1
BetBoom,56,1
BetBoom,49,1
BI.Zone,8,3
BI.Zone,136,2
BI.Zone,1,2
BI.Zone,175,2
BI.Zone,19,2
BI.Zone,131,2
BI.Zone,7,2
BI.Zone,106,2
BI.Zone,48,2
Bitrix24,131,1
Bitrix24,114,1
Bitrix24,161,1
Bitronics Lab,17,1
Bitronics Lab,132,1
Bitronics Lab,26,1
Bitronics Lab,69,1
Bitronics Lab,10,1
Bitronics Lab,133,1
Bitronics Lab,9,1
Bitronics Lab,87,1
Bitronics Lab,30,1
Bnd Llc,57,1
Bnd Llc,26,1
Bnd Llc,96,1
Bnd Llc,28,1
Bnd Llc,62,1
Bnd Llc,0,1
Bnd Llc,99,1
Boomerang,33,2
Boomerang,163,2
Boomerang,74,1
Boomerang,83,1
Boomerang,7,1
Boomerang,2,1
Boomerang,49,1
Boomerang,138,1
Boomerang,20,1
Brainshell,39,3
Brainshell,36,3
Brainshell,89,3
Brainshell,22,2
Brainshell,10,1
Brainshell,23,1
Brainshell,159,1
Brainshell,7,1
Brainshell,126,1
Broad Apps,11,1
Broad Apps,8,1
Broad Apps,115,1
Broad Apps,127,1
Broad Apps,5,1
Broniboy Тех Скриннинг,126,1
Broniboy Тех Скриннинг,32,1
Broniboy Тех Скриннинг,106,1
Broniboy Тех Скриннинг,102,1
Broniboy Тех Скриннинг,30,1
Caltat,21,1
Caltat,30,1
Caltat,50,1
Caltat,29,1
Caltat,101,1
Centicore Solutions На Проект Go Invest,18,1
Centicore Solutions На Проект Go Invest,70,1
Centicore Solutions На Проект Go Invest,39,1
Ceramic3D,47,1
Ceramic3D,0,1
Clevertec,170,3
Clevertec,24,2
Clevertec,3,2
Clevertec,133,2
Clevertec,61,1
Clevertec,107,1
Clevertec,40,1
Clevertec,117,1
Clevertec,108,1
Click2Money,17,1
Click2Money,69,1
Click2Money,60,1
Click2Money,86,1
Click2Money,15,1
Click2Money,38,1
Click2Money,26,1
Click2Money,27,1
Click2Money,72,1
Cloud.Ru,0,2
Cloud.Ru,144,1
Cloud.Ru,6,1
Cloud.Ru,84,1
Cloud.Ru,4,1
Cloud.Ru,51,1
Cloud.Ru,63,1
Cloud.Ru,111,1
Cloud.Ru,54,1
Comagic,83,2
Comagic,81,1
Comagic,10,1
Comagic,132,1
Comagic,133,1
Comagic,61,1
Comagic,40,1
Cosysoft,0,2
Cosysoft,167,2
Cosysoft,96,2
Cosysoft,78,1
Cosysoft,3,1
Cosysoft,98,1
Cosysoft,89,1
Cosysoft,10,1
Cosysoft,23,1
Crtex,79,1
Crtex,121,1
Crtex,17,1
Crtex,15,1
Crtex,22,1
Crtex,68,1
Crtex,109,1
Crtex,94,1
CSSSR,30,1
CSSSR,94,1
CSSSR,13,1
CubeLab,6,1
CubeLab,10,1
CubeLab,37,1
CubeLab,110,1
CubeLab,4,1
CubeLab,41,1
CubeLab,148,1
Darinsoft,69,1
Darinsoft,17,1
Darinsoft,25,1
Darinsoft,71,1
Darinsoft,157,1
Darinsoft,26,1
Darinsoft,72,1
Darinsoft,166,1
Darinsoft,139,1
Datagile,21,3
Datagile,117,2
Datagile,3,2
Datagile,32,2
Datagile,83,2
Datagile,11,1
Datagile,5,1
Datagile,4,1
Datagile,64,1
Datanomica,5,2
Datanomica,139,1
Datanomica,1,1
Datanomica,58,1
Datanomica,15,1
Datanomica,32,1
Datanomica,62,1
Datanomica,135,1
Datanomica,124,1
Dataworks,98,1
Dataworks,135,1
Dataworks,125,1
Dataworks,43,1
Dataworks,3,1
Data World,31,1
Data World,34,1
Data World,36,1
Data World,130,1
Data World,15,1
Data World,175,1
Data World,78,1
Data World,105,1
Data World,81,1
Datsteam,15,1
Datsteam,68,1
Datsteam,95,1
Datsteam,47,1
Datsteam,66,1
Dcloud,104,1
Dcloud,0,1
Dcloud,55,1
Dcloud,57,1
Diasoft,47,2
Diasoft,19,1
Diasoft,162,1
Diasoft,123,1
Diasoft,24,1
Diasoft,4,1
Diasoft,59,1
Diasoft,136,1
Diasoft,80,1
Digital Sector,33,3
Digital Sector,90,2
Digital Sector,8,2
Digital Sector,50,2
Digital Sector,60,2
Digital Sector,34,2
Digital Sector,38,2
Digital Sector,105,2
Digital Sector,65,2
Dodo Brands,120,2
Dodo Brands,0,2
Dodo Brands,27,2
Dodo Brands,105,1
Dodo Brands,125,1
Dodo Brands,128,1
Dodo Brands,20,1
Dodo Brands,42,1
Dodo Brands,28,1
Dodo Brands,41,1
Dogma,154,1
Doubletapp,19,2
Doubletapp,6,1
Doubletapp,94,1
ED-IT,83,1
ED-IT,40,1
ED-IT,118,1
Egar Technology,42,4
Egar Technology,67,3
Egar Technology,132,2
Egar Technology,5,2
Egar Technology,1,2
Egar Technology,30,1
