"id","question_text","company","date","interview_id"
"q1","Какие компоненты и фичи делал сам от и до","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q2","Как оптимизировать работу браузера (в т.ч. reflow/repaint)","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q3","Как работает Virtual DOM, reconciliation","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q4","Разница event.stopPropagation vs event.preventDefault","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q5","Что происходит при перерендере React-компонента","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q6","Как работает useMemo, useCallback — примеры реальных кейсов","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q7","Когда useLayoutEffect опасен","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q8","Принципы SOLID, как соблюдаются в React (SRP, DIP, LSP)","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q9","Как устроен Event Loop, разница между micro/macro tasks","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q10","Как работают замыкания в JS, зачем нужны useRef и колбэки","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q11","Какие архитектурные подходы используешь (FSD, атомарный дизайн)","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q12","Как устроены формы и валидации (Formik, Zod, React Hook Form)","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q13","Как реализовать сохранение драфта формы с автосейвом","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q14","Как писал тесты на хуки и логику (Jest, RTL)","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q15","Проблемы с SSR и как дебажил","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q16","Что знаешь про Web Vitals, как следил за метриками","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q17","Чем отличаются == и === и почему это важно","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q18","Как работает this, где он теряется","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q19","Что делает Object.create(null)","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q20","Как бы сделал drag'n'drop без библиотек","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q21","Как рефакторишь легаси-компоненты","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q22","Как организовать фичи и слои в FSD-подходе","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q23","Как разбиваешь логику между slice и thunk","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q24","Что может пойти не так при deep clone объекта","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q25","Как бы реализовал очередь на отправку запросов","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q1","Определить результат и объяснить поведение выражения: console.log(0.1 + 0.2 === 0.3)","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q2","Определить результат и объяснить typeof NaN","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q3","Определить результат и объяснить поведение выражений: console.log([] + 1) и console.log([1] + 1)","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q4","Объяснить вывод кода с циклом и setTimeout с var: for (var i = 0; i < 3; i++) { setTimeout(() => console.log(i), 0); }","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q5","Определить тип объекта, возвращаемого функцией-конструктором, которая возвращает примитив: function Person() { this.age = 30; return 42; }","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q6","Объяснить поведение массива с пропущенными индексами: const arr = [4, 5, 6]; arr[10] = 99; определить длину и содержимое массива","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q7","Объяснить значение this в строгом режиме внутри функции: function foo() { 'use strict'; console.log(this); }","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q8","Объяснить поведение вызова метода объекта через отдельную переменную: const obj = { message: 'Hello', getMessage() { return this.message; } }; const get = obj.getMessage; что вернет get()","EnjoyPro","2025-05-22","interview_EnjoyPro_000"
"q1","Объясните, что выведет в консоль следующий код: функция changeStuff изменяет примитив и объект, вызов changeStuff(num, obj1), затем вывод num и obj1.item","EnjoyPro","2024-06-28","interview_EnjoyPro_001"
"q2","Объясните поведение и результат вызова методов diameter и perimeter объекта shape, где diameter — обычный метод, а perimeter — стрелочная функция, использующая this.radius","EnjoyPro","2024-06-28","interview_EnjoyPro_001"
"q3","Объясните работу генератора generator, который yield'ит i и i*2, и результат вызова gen.next().value дважды","EnjoyPro","2024-06-28","interview_EnjoyPro_001"
