"id","question_text","company","date","interview_id"
"q1","Прошлись по резюме, что использовал, какой стек","Infowatch","2025-02-10","interview_Infowatch_000"
"q2","git merge vs git rebase","Infowatch","2025-02-10","interview_Infowatch_000"
"q3","git pull для чего","Infowatch","2025-02-10","interview_Infowatch_000"
"q4","git stash","Infowatch","2025-02-10","interview_Infowatch_000"
"q5","unknown vs never vs void","Infowatch","2025-02-10","interview_Infowatch_000"
"q6","Дженерики для чего","Infowatch","2025-02-10","interview_Infowatch_000"
"q7","T extends number | string - для чего extends","Infowatch","2025-02-10","interview_Infowatch_000"
"q8","Литеральные типы что это","Infowatch","2025-02-10","interview_Infowatch_000"
"q9","Capitalize","Infowatch","2025-02-10","interview_Infowatch_000"
"q10","Про utility types typescript","Infowatch","2025-02-10","interview_Infowatch_000"
"q1","Реализовать функцию createPhoneNumber, которая принимает массив из 9 чисел (каждое число от 0 до 9) и возвращает строку в формате '(123) 456-789' с корректной типизацией массива фиксированной длины 9","Infowatch","2025-02-10","interview_Infowatch_000"
"q2","Исправить и реализовать компонент React с использованием styled-components и useRef, который содержит StyledInput с пропсом $color, и по клику на кнопку получает значение input внутри spanRef и выводит его через alert","Infowatch","2025-02-10","interview_Infowatch_000"
