"id","question_text","company","date","interview_id"
"q1","Сколько может быть header main footer","Prootech","2025-02-21","interview_Prootech_000"
"q2","Специфичность селекторов","Prootech","2025-02-21","interview_Prootech_000"
"q3","id, id + class, id какой стиль применится","Prootech","2025-02-21","interview_Prootech_000"
"q4","Как определяется какой стиль применится (веса)","Prootech","2025-02-21","interview_Prootech_000"
"q5","Почему можно вызвать у примитива методы","Prootech","2025-02-21","interview_Prootech_000"
"q6","Как отсортируется массив, если в sort не передать колбэк","Prootech","2025-02-21","interview_Prootech_000"
"q7","Что такое TS","Prootech","2025-02-21","interview_Prootech_000"
"q8","Когда встретим тип never","Prootech","2025-02-21","interview_Prootech_000"
"q9","Что такое typeof и keyof","Prootech","2025-02-21","interview_Prootech_000"
"q10","let a - какой тип запишет TS (any). Как избавиться (прописать правило в tsconfig)?","Prootech","2025-02-21","interview_Prootech_000"
"q11","Можно ли использовать index к статическому массиву","Prootech","2025-02-21","interview_Prootech_000"
"q12","Через что сделать componentWillMount","Prootech","2025-02-21","interview_Prootech_000"
"q13","Что будет если в useEffect будет пустой массив зависимостей","Prootech","2025-02-21","interview_Prootech_000"
"q14","Приходит много карточек товара, при скролле нужно показывать новые, как бы делал (IntersectionObserver и виртуализация)?","Prootech","2025-02-21","interview_Prootech_000"
"q1","Разобрать Promise задачу с выводом в консоль: console.log(1), setTimeout(() => console.log(2), 0), new Promise((res, rej) => {console.log(3); reject()}).then(() => console.log(4)).catch(() => console.log(6)), console.log(6)","Prootech","2025-02-21","interview_Prootech_000"
"q2","Реализовать функцию removeDuplicates, которая удаляет дубликаты из массива","Prootech","2025-02-21","interview_Prootech_000"
"q3","Написать функцию flat, которая рекурсивно разворачивает вложенные массивы в один уровень","Prootech","2025-02-21","interview_Prootech_000"
