"id","question_text","company","date","interview_id"
"q1","Что такое generic?","Rusjet","2024-07-08","interview_Rusjet_000"
"q2","Какие есть утилитарные типы в TypeScript?","Rusjet","2024-07-08","interview_Rusjet_000"
"q3","У нас есть функция, и мы ожидаем, что на вход придёт объект с бэкенда, но бэк прислал string. Может ли TypeScript как-нибудь помочь в этой ситуации?","Rusjet","2024-07-08","interview_Rusjet_000"
"q4","Какие самые популярные хуки в React?","Rusjet","2024-07-08","interview_Rusjet_000"
"q5","Можно ли вместо кастомного хука создать обычную функцию в React?","Rusjet","2024-07-08","interview_Rusjet_000"
"q6","Мы получили get-запросом таблицу Users с функционалом удаления, добавления и редактирования записей. Какие есть способы перерисовки таблицы в RTK Query?","Rusjet","2024-07-08","interview_Rusjet_000"
"q7","Как изменить дизайн кнопки в MaterialUI?","Rusjet","2024-07-08","interview_Rusjet_000"
"q8","Как добавить к кнопке в MaterialUI дополнительный функционал, например, сделать состояние loading?","Rusjet","2024-07-08","interview_Rusjet_000"
"q9","Сталкивались ли вы с микрофронтендом?","Rusjet","2024-07-08","interview_Rusjet_000"
"q10","Знакомы ли вы с библиотекой react-hook-form?","Rusjet","2024-07-08","interview_Rusjet_000"
