"id","question_text","company","date","interview_id"
"q1","Есть массив на выходе const arrayWithDuplicates = [1, 2, 2, 3, 4, 4, 5]; надо получить массив без дубликатов, как бы делал, как сделать без SET, какая сложность алгоритма будет, будет ли сет работать с объектами","Tilda Тильда","2024-07-05","interview_Tilda_Тильда_000"
"q2","Какая сложность вставки в объект","Tilda Тильда","2024-07-05","interview_Tilda_Тильда_000"
"q3","Расскажи как бы ты делала задачу, что тебе надо один раз только при входе пользователя показать попап, как через 5 секунд показать попап","Tilda Тильда","2024-07-05","interview_Tilda_Тильда_000"
"q4","Для чего используется куки и различия у localStorage и sessionStorage","Tilda Тильда","2024-07-05","interview_Tilda_Тильда_000"
"q5","Как подключается скрипт к странице, где лучше его подгружать, какие есть атрибуты и расскажи про их разницу","Tilda Тильда","2024-07-05","interview_Tilda_Тильда_000"
"q6","Если у нас SPA, где лучше подключить script","Tilda Тильда","2024-07-05","interview_Tilda_Тильда_000"
"q7","Как делать анимации, какие свойства рекомендуется менять, а какие нет, если мы хотим сместить квадратик сверху вниз, что лучше использовать","Tilda Тильда","2024-07-05","interview_Tilda_Тильда_000"
"q8","Задача на верстку: опиши словами, что будет с размерами блоков, цветом бордеров, что будет если добавить ещё два ребёнка в структуру <div class=\\outer\\""><div class=\\""inner\\""></div></div> с CSS .outer { border: 1px solid red; } .inner { border: 1px solid green; width: 100px; height: 100px; }""","Tilda Тильда","2024-07-05","interview_Tilda_Тильда_000"
"q9","Что будет в консоли и почему, если использовать не двойное, а тройное равно, и какое равно приводит типы, на примерах {a:1} === {a:1} и {a:1} === {b:1}","Tilda Тильда","2024-07-05","interview_Tilda_Тильда_000"
"q10","Написать замыкание на примере функции createCounter, которая увеличивает и выводит счётчик при каждом вызове","Tilda Тильда","2024-07-05","interview_Tilda_Тильда_000"
"q11","Что делает CSS-правило * { box-sizing: border-box; }, расскажи как оно работает","Tilda Тильда","2024-07-05","interview_Tilda_Тильда_000"
