"id","question_text","company","date","interview_id"
"q1","Какая команда, процессы","Trendtech","2024-07-10","interview_Trendtech_000"
"q2","Как работал с чатами, какие проблемы были","Trendtech","2024-07-10","interview_Trendtech_000"
"q3","Что улучшил в команде","Trendtech","2024-07-10","interview_Trendtech_000"
"q4","Что привнес нового в проект","Trendtech","2024-07-10","interview_Trendtech_000"
"q5","Как тебе redux","Trendtech","2024-07-10","interview_Trendtech_000"
"q6","Какие еще стейтменеджеры щупал","Trendtech","2024-07-10","interview_Trendtech_000"
"q7","Как ui кит разрабатывал","Trendtech","2024-07-10","interview_Trendtech_000"
"q8","Какая архитектура была","Trendtech","2024-07-10","interview_Trendtech_000"
"q9","Как с вебпаком работал","Trendtech","2024-07-10","interview_Trendtech_000"
"q10","Есть ли опыт с module federation","Trendtech","2024-07-10","interview_Trendtech_000"
"q11","Какие тесты писал","Trendtech","2024-07-10","interview_Trendtech_000"
"q12","Какие способы копирования объекта знаешь","Trendtech","2024-07-10","interview_Trendtech_000"
"q13","Как фиксить перерендеры","Trendtech","2024-07-10","interview_Trendtech_000"
"q14","Разница void и never","Trendtech","2024-07-10","interview_Trendtech_000"
"q15","Utility types","Trendtech","2024-07-10","interview_Trendtech_000"
"q16","Как отследить клик по кнопке из одного модуля в другом через микрофронты","Trendtech","2024-07-10","interview_Trendtech_000"
"q17","Event Bus это, как решать проблему с утечкой памяти","Trendtech","2024-07-10","interview_Trendtech_000"
"q18","Какие еще ui киты готовые знаешь","Trendtech","2024-07-10","interview_Trendtech_000"
"q19","Как оптимизировать сайт чтобы быстро грузил","Trendtech","2024-07-10","interview_Trendtech_000"
"q20","Были ли проблемы с памятью при использовании redux","Trendtech","2024-07-10","interview_Trendtech_000"
"q1","Написать функцию на TypeScript, которая принимает массив элементов (string | number | object) и возвращает количество уникальных элементов","Trendtech","2024-07-10","interview_Trendtech_000"
