"id","question_text","company","date","interview_id"
"q1","Об опыте","Action Tech","2025-04-16","interview_Action_Tech_000"
"q2","Virtual dom","Action Tech","2025-04-16","interview_Action_Tech_000"
"q3","Проп key","Action Tech","2025-04-16","interview_Action_Tech_000"
"q4","Мемоизация в react","Action Tech","2025-04-16","interview_Action_Tech_000"
"q5","Event loop","Action Tech","2025-04-16","interview_Action_Tech_000"
"q6","Что такое fsd, как внедряли его на проект","Action Tech","2025-04-16","interview_Action_Tech_000"
"q7","Виды рендеринга","Action Tech","2025-04-16","interview_Action_Tech_000"
"q8","Минусы / плюсы TS","Action Tech","2025-04-16","interview_Action_Tech_000"
"q9","Generics","Action Tech","2025-04-16","interview_Action_Tech_000"
"q10","Utility types, кастомные утилиты","Action Tech","2025-04-16","interview_Action_Tech_000"
"q11","Как работает браузер","Action Tech","2025-04-16","interview_Action_Tech_000"
"q12","http/https","Action Tech","2025-04-16","interview_Action_Tech_000"
