"id","question_text","company","date","interview_id"
"q1","Почему сменили профиль и пошли в разработку?","Diasoft","2024-11-15","interview_Diasoft_000"
"q2","По резюме идем последнее место работы причина ухода","Diasoft","2024-11-15","interview_Diasoft_000"
"q3","С каким продуктом работали подробности","Diasoft","2024-11-15","interview_Diasoft_000"
"q4","Про основной функционал который вы делали","Diasoft","2024-11-15","interview_Diasoft_000"
"q5","Самая интересная и сложная задачка","Diasoft","2024-11-15","interview_Diasoft_000"
"q6","Про команду с кем работаете с кем строиться взаимодействие","Diasoft","2024-11-15","interview_Diasoft_000"
"q7","Готовы изучить Angular","Diasoft","2024-11-15","interview_Diasoft_000"
"q8","С какими графическими редакторами работал","Diasoft","2024-11-15","interview_Diasoft_000"
"q9","С нуля приходилось что либо верстать или по макетам что то делали","Diasoft","2024-11-15","interview_Diasoft_000"
"q10","Дизайн систему какую использовали","Diasoft","2024-11-15","interview_Diasoft_000"
"q11","По процессу разработки как шло взаимодействие с git git flow","Diasoft","2024-11-15","interview_Diasoft_000"
"q12","Принимал ли участие в выборе стека на проекте","Diasoft","2024-11-15","interview_Diasoft_000"
"q13","Написать функцию которая принимает на вход строку и печатает в консоль ее в перевернутом виде","Diasoft","2024-11-15","interview_Diasoft_000"
"q14","Определить повторяющиеся символы в строке и вывести их в массиве","Diasoft","2024-11-15","interview_Diasoft_000"
"q15","Написать функцию для вычисления суммы многомерного массива с любой вложенностью","Diasoft","2024-11-15","interview_Diasoft_000"
"q16","Задача на баланс скобок: написать функцию, которая проверяет корректность расстановки скобок в строке","Diasoft","2024-11-15","interview_Diasoft_000"
"q1","Что такое event-loop","Diasoft","2024-09-26","interview_Diasoft_001"
"q2","Что такое замыкания","Diasoft","2024-09-26","interview_Diasoft_001"
"q1","Что такое реакт, почему его выбрал","Diasoft","2024-07-13","interview_Diasoft_002"
"q2","Методы жизненного цикла компонента","Diasoft","2024-07-13","interview_Diasoft_002"
"q3","Какие хуки в реакт есть","Diasoft","2024-07-13","interview_Diasoft_002"
"q4","Отличия useCallback и useMemo","Diasoft","2024-07-13","interview_Diasoft_002"
"q6","Event loop что такое","Diasoft","2024-07-13","interview_Diasoft_002"
"q7","Преимущества redux toolkit перед redux","Diasoft","2024-07-13","interview_Diasoft_002"
"q8","Саги или санки, что больше нравилось","Diasoft","2024-07-13","interview_Diasoft_002"
"q9","Оптимизации, делал ли, какие способы оптимизации знаешь","Diasoft","2024-07-13","interview_Diasoft_002"
