"id","question_text","company","date","interview_id"
"q1","Реализуйте функцию groupByCity, которая принимает массив объектов с полями city и name и возвращает объект, где ключи — города, а значения — либо строка с именем одного человека, либо массив имен, если в городе несколько человек","Farzoom","2025-03-14","interview_Farzoom_000"
"q2","В React приложении с двумя компонентами реализуйте обновление id в главном компоненте при нажатии на кнопку и добавьте key={name} для корректного рендеринга","Farzoom","2025-03-14","interview_Farzoom_000"
"q3","Реализуйте функцию fnJoin, которая принимает массив и разделитель и возвращает строку, объединяя элементы массива через указанный разделитель","Farzoom","2025-03-14","interview_Farzoom_000"
"q1","Где хранить токен","Farzoom","2025-02-17","interview_Farzoom_001"
"q2","Структура HTTP запроса","Farzoom","2025-02-17","interview_Farzoom_001"
"q3","Как отправляются куки","Farzoom","2025-02-17","interview_Farzoom_001"
"q4","Как устанавливаются куки со стороны сервера","Farzoom","2025-02-17","interview_Farzoom_001"
"q5","Отличие GET от POST","Farzoom","2025-02-17","interview_Farzoom_001"
"q6","Что быстрее выполнится: промис или таймаут","Farzoom","2025-02-17","interview_Farzoom_001"
"q7","Как браузер понимает, что нужно закешировать запрос","Farzoom","2025-02-17","interview_Farzoom_001"
"q1","Что такое event-loop","Farzoom","2024-10-23","interview_Farzoom_002"
"q2","Что такое замыкания","Farzoom","2024-10-23","interview_Farzoom_002"
