"id","question_text","company","date","interview_id"
"q1","Занимался ли инвестированием","Goinvest","2024-07-08","interview_Goinvest_000"
"q2","Расскажи про последние проекты","Goinvest","2024-07-08","interview_Goinvest_000"
"q3","Какую фичу реализовывал, как проходил анализ требований","Goinvest","2024-07-08","interview_Goinvest_000"
"q4","Были ли проекты связанные с инвестициями","Goinvest","2024-07-08","interview_Goinvest_000"
"q5","Какой состав команды","Goinvest","2024-07-08","interview_Goinvest_000"
"q6","Какие задачи выполнял (проектирование, реализация, код ревью, менторинг)","Goinvest","2024-07-08","interview_Goinvest_000"
"q7","Расскажи про задачу, в которой тебе потребовалась помощь","Goinvest","2024-07-08","interview_Goinvest_000"
"q8","Почему уходишь с текущего места","Goinvest","2024-07-08","interview_Goinvest_000"
"q9","Какую команду ищешь","Goinvest","2024-07-08","interview_Goinvest_000"
"q1","Написать функцию, принимающую как аргумент либо строку либо массив либо строки через запятую, содержащую ключи, на выходе должна быть строка из значений по этим ключам через пробел","Goinvest","2024-07-03","interview_Goinvest_001"
"q2","Написать функцию, которая строку вида AAABBCDDD приводит к A3B2CD3","Goinvest","2024-07-03","interview_Goinvest_001"
"q3","Написать функцию, которая на входе принимает строку вида 111223334, а на выходе возвращает 34274, где каждая цифра умножена на количество повторений подряд","Goinvest","2024-07-03","interview_Goinvest_001"
