"id","question_text","company","date","interview_id"
"q1","flexbox & grid","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q2","селекторы >, +, ~","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q3","em, rem","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q4","медиазапросы","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q5","БЭМ","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q6","модульные стили, css-in-js","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q7","как подключить шрифты","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q8","новые фичи CSS какие знаешь","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q9","Типы данных в js","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q10","работала ли с symbol и bigInt","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q11","откуда пустой объект берет метод toString в строке кода ({}).toString()","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q12","как узнать, принадлежит ли ключ объекта этому объекту?","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q13","что такое промисы, статические методы промисов","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q14","для чего нужны MutationObserver, IntersectionObserver","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q15","что такое this, как работает, где использовала","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q16","чем хорош аксиос?","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q17","дженерики, что это, какие знаешь","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q18","рассказать про классы типа private","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q19","плюсы и минусы реакт","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q20","для чего нужен портал","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q21","как можно использовать useRef","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q22","что такое редакс, как работает, нравится ли","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q1","Отсортировать массив чисел так, чтобы все 2 шли первыми, затем 1, затем 0, например [0,1,2,2,0,1,1,0,2] преобразовать в [2,2,2,1,1,1,0,0,0]","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q23","Что будет в консоли при выполнении цикла с var и setTimeout, выводящем i от 0 до 9? Как исправить код, чтобы вывести числа от 0 до 9?","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q24","Что будет в консоли при клике на кнопку и див с обработчиками onClick? Как вывести только 'А' при клике на кнопку, используя stopPropagation?","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q25","Какой цвет у кнопок внутри двух div с классами 'red blue' и 'blue red'?","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q26","Что будет выведено в консоль при выполнении цепочки промисов с setTimeout и console.log(5)?","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q2","Реализовать переключение темы в React с использованием контекста, чтобы изменение темы в родительском компоненте отражалось в дочерних компонентах","Quantum Art","2024-03-28","interview_Quantum_Art_000"
"q3","Исправить функцию groupBy, которая группирует массив объектов по заданному свойству, чтобы для каждого ключа создавался массив объектов, а не один объект","Quantum Art","2024-03-28","interview_Quantum_Art_000"
