"id","question_text","company","date","interview_id"
"q1","Что такое event-loop?","RecruitTech","2025-04-24","interview_RecruitTech_000"
"q2","Что такое замыкания?","RecruitTech","2025-04-24","interview_RecruitTech_000"
"q1","Реализуйте функцию sleep, которая при вызове приостанавливает выполнение кода на указанное количество миллисекунд и работает как промис с поддержкой await","RecruitTech","2025-03-13","interview_RecruitTech_001"
"q2","Напишите функцию filterObjectByKeys, которая принимает объект и массив ключей, и возвращает новый объект, содержащий только указанные ключи, а затем протипизируйте её с помощью дженерика","RecruitTech","2025-03-13","interview_RecruitTech_001"
"q3","Реализуйте объект cardStore с методами subscribe, getState, addCard и removeCard, который хранит массив карточек и множество уникальных слушателей, и при изменении карточек оповещает всех подписчиков","RecruitTech","2025-03-13","interview_RecruitTech_001"
"q4","Добавьте в cardStore возможность отписки от подписки, чтобы избежать утечки памяти, реализовав возвращаемую из subscribe функцию unsubscribe","RecruitTech","2025-03-13","interview_RecruitTech_001"
"q1","Расскажи о себе","RecruitTech","2025-01-28","interview_RecruitTech_002"
"q2","Расскажи про проект","RecruitTech","2025-01-28","interview_RecruitTech_002"
"q3","Назови 5 достижений и 5 факапов","RecruitTech","2025-01-28","interview_RecruitTech_002"
"q1","Сильные и слабые стороны","RecruitTech","2024-10-25","interview_RecruitTech_003"
"q2","Что такое useMemo и как он работает","RecruitTech","2024-10-25","interview_RecruitTech_003"
"q3","Как сделать глубокую копию объекта","RecruitTech","2024-10-25","interview_RecruitTech_003"
"q4","Что такое Set и как он используется","RecruitTech","2024-10-25","interview_RecruitTech_003"
"q5","Какие методы массива не мутируют исходный массив","RecruitTech","2024-10-25","interview_RecruitTech_003"
"q6","В чем разница между useEffect и useLayoutEffect","RecruitTech","2024-10-25","interview_RecruitTech_003"
"q7","В чем разница между event.target и event.currentTarget","RecruitTech","2024-10-25","interview_RecruitTech_003"
"q8","Реализуйте функцию, которая разворачивает строку, используя методы split(''), reverse() и join('')","RecruitTech","2024-10-25","interview_RecruitTech_003"
