"id","question_text","company","date","interview_id"
"q1","Что происходит когда вводится url в строку браузера","АФЛТ Систем","2025-07-07","interview_АФЛТ_Систем_000"
"q2","Что такое event-loop","АФЛТ Систем","2025-07-07","interview_АФЛТ_Систем_000"
"q3","Что такое this","АФЛТ Систем","2025-07-07","interview_АФЛТ_Систем_000"
"q4","Как внутри DOM ведет себя this, на что ссылается","АФЛТ Систем","2025-07-07","interview_АФЛТ_Систем_000"
"q5","Рассказать про утечку памяти","АФЛТ Систем","2025-07-07","interview_АФЛТ_Систем_000"
"q6","Разница между SSR, SSG, ISR","АФЛТ Систем","2025-07-07","interview_АФЛТ_Систем_000"
"q7","Рассказать про SEO, оптимизация, как работает поисковой робот","АФЛТ Систем","2025-07-07","interview_АФЛТ_Систем_000"
"q8","Что такое рекурсия","АФЛТ Систем","2025-07-07","interview_АФЛТ_Систем_000"
"q1","Реализовать функцию sumOfSquares, которая принимает массив чисел и возвращает сумму квадратов элементов","АФЛТ Систем","2025-07-07","interview_АФЛТ_Систем_000"
"q2","Реализовать класс Subscription с методами subscribe(callback), unsubscribe(callback) и next(value), который управляет набором подписчиков и вызывает их с новым значением","АФЛТ Систем","2025-07-07","interview_АФЛТ_Систем_000"
"q3","Реализовать классовый React-компонент согласно предоставленному примеру на Stackblitz","АФЛТ Систем","2025-07-07","interview_АФЛТ_Систем_000"
