"id","question_text","company","date","interview_id"
"q1","Про жизненные ситуации: кем видишь себя через 5 лет, с какими качествами тебя ассоциируют твои знакомые, каким достижением в жизни гордишься","Билайн","2025-03-21","interview_Билайн_000"
"q2","Задача на логику: 1,5 кролика съедают 1,5 морковки за 1,5 минуты. Сколько морковок съедят 9 кроликов за 9 минут","Билайн","2025-03-21","interview_Билайн_000"
"q3","Вопросы про REST, HTTP, HTTPS, авторизацию, процесс ввода URL в адресную строку","Билайн","2025-03-21","interview_Билайн_000"
"q4","Вопросы по JavaScript: типы данных, методы массивов, замыкания, сборщик мусора","Билайн","2025-03-21","interview_Билайн_000"
"q5","Чем отличается type от interface в TypeScript","Билайн","2025-03-21","interview_Билайн_000"
"q6","Написать тип в TypeScript, который принимает только отрицательные числа и только положительные числа","Билайн","2025-03-21","interview_Билайн_000"
"q7","Плюсы и минусы React, какие есть аналоги","Билайн","2025-03-21","interview_Билайн_000"
"q8","Какие хуки React знаешь","Билайн","2025-03-21","interview_Билайн_000"
"q9","Если в компоненте React есть 5 useEffect, в каком из них нужно делать очистку обработчика событий","Билайн","2025-03-21","interview_Билайн_000"
"q1","Реализуйте функцию fuzzySearch, которая по подстроке возвращает из массива строки, содержащие все символы подстроки в правильном порядке, но не обязательно подряд, например fuzzySearch('am', ['fuzzy','maskva','mama','search','algorithm','utility']) возвращает ['mama','algorithm']","Билайн","2024-02-05","interview_Билайн_001"
