"id","question_text","company","date","interview_id"
"q1","Расскажи про себя","Медлайнсофт","2025-04-30","interview_Медлайнсофт_000"
"q2","Подробно расскажи про резюме и проект","Медлайнсофт","2025-04-30","interview_Медлайнсофт_000"
"q3","В чем отличие type от interface в TypeScript","Медлайнсофт","2025-04-30","interview_Медлайнсофт_000"
"q4","Какие правила хуков в React","Медлайнсофт","2025-04-30","interview_Медлайнсофт_000"
"q5","Почему нельзя вызывать хуки в условиях","Медлайнсофт","2025-04-30","interview_Медлайнсофт_000"
"q6","Объясни разницу между Promise.all и Promise.allSettled","Медлайнсофт","2025-04-30","interview_Медлайнсофт_000"
"q7","Реализовать хук useDebounce с типизацией на TypeScript","Медлайнсофт","2025-04-30","interview_Медлайнсофт_000"
"q8","Реализовать функцию handlePromises, которая принимает массив промисов и возвращает результат Promise.allSettled","Медлайнсофт","2025-04-30","interview_Медлайнсофт_000"
"q9","Определи последовательность вывода в консоль для асинхронных функций с await и console.log","Медлайнсофт","2025-04-30","interview_Медлайнсофт_000"
"q10","Реализовать функцию getData, которая одновременно запускает два промиса и возвращает их результаты в виде массива","Медлайнсофт","2025-04-30","interview_Медлайнсофт_000"
