"id","question_text","company","date","interview_id"
"q1","Что такое nginx, принципы его работы","Продамус","2024-08-24","interview_Продамус_000"
"q2","Что такое cdn","Продамус","2024-08-24","interview_Продамус_000"
"q3","Расскажите про процессы диплоя проекта, про опыт","Продамус","2024-08-24","interview_Продамус_000"
"q4","Расскажите про опыт с микрофронтами","Продамус","2024-08-24","interview_Продамус_000"
"q5","Способы оптимизации","Продамус","2024-08-24","interview_Продамус_000"
"q6","Что такое tree shaking","Продамус","2024-08-24","interview_Продамус_000"
"q7","Что такое source map","Продамус","2024-08-24","interview_Продамус_000"
"q8","Что такое iframe","Продамус","2024-08-24","interview_Продамус_000"
"q1","Заменить использование ref на state в React-компоненте, реализовать обновление значения через useState и передавать его в дочерний компонент","Продамус","2024-08-24","interview_Продамус_000"
"q2","Типизировать React-компонент с использованием TypeScript, объявить интерфейс SmartCaptcha с методом execute, расширить глобальный интерфейс Window для поддержки window.smartCaptcha и использовать его в обработчике события формы","Продамус","2024-08-24","interview_Продамус_000"
"q3","Типизировать ошибку в React-компоненте с пропсом error типа unknown, реализовать сужение типа для проверки наличия свойств code и message, обработать код ошибки 404 и вывести соответствующее сообщение","Продамус","2024-08-24","interview_Продамус_000"
