"id","question_text","company","date","interview_id"
"q1","var, let, const различия","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q2","Если объект в const передаём что будет?","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q3","Как сделать иммутабельный объект? А через typescript?","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q4","Как скопировать объект. Что в работе чаще всего использовал?","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q5","Как работает сборщик мусора?","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q6","Что такое слабые ссылки в контексте сборщика мусора?","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q7","Зачем нужен key в реакте?","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q8","Какие способы оптимизации в контексте реакта?","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q9","Функцию обёрнутую в useCallback передаём в дочерний, нужно ли в дочернем что-то делать чтобы корректно работало?","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q10","Рендеринг в реакте синхронный или асинхронный?","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q11","useEffect/useLayoutEffect отличия","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q12","Что такое react fiber?","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q13","setState синхронный или нет? Почему?","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q14","Зачем нужен StrictMode?","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q15","Какие есть виды хранилищ в браузере?","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q16","Где бы ты хранил refresh token и почему?","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q1","Написать функцию fibonacci, которая возвращает n-е число Фибоначчи, используя итеративный подход","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q2","Проанализировать и объяснить, что не так с использованием async функции внутри useEffect","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q3","Определить, что выведется в консоль при клике на вложенные элементы form, div и p с обработчиками onClick","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q4","Написать функцию debounce, которая принимает функцию и задержку, и возвращает новую функцию с отложенным вызовом","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
"q5","Написать функцию flattenArr, которая преобразует вложенный массив в плоский массив","Цифровые Привычки","2025-06-06","interview_Цифровые_Привычки_000"
